2025-01-15T10:23:41 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15T10:23:41 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order | body={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1736933021843}
2025-01-15T10:23:42 | DEBUG    | trading_bot.client | HTTP 200 | url=https://testnet.binancefuture.com/fapi/v1/order
2025-01-15T10:23:42 | INFO     | trading_bot.client | Order response | {'orderId': 4254642309, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'web_FaVS3ByqxOSs4pSBEzim', 'price': '0', 'avgPrice': '97341.60', 'origQty': '0.001', 'executedQty': '0.001', 'cumQty': '0.001', 'cumQuote': '97.34160', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1736933022091}
2025-01-15T10:23:42 | INFO     | trading_bot.orders | Order success | orderId=4254642309 | status=FILLED | executedQty=0.001
2025-01-15T10:23:42 | INFO     | trading_bot.cli | CLI completed successfully | orderId=4254642309
2025-01-15T10:31:05 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15T10:31:05 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order | body={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '100000', 'timeInForce': 'GTC', 'timestamp': 1736933465312}
2025-01-15T10:31:06 | DEBUG    | trading_bot.client | HTTP 200 | url=https://testnet.binancefuture.com/fapi/v1/order
2025-01-15T10:31:06 | INFO     | trading_bot.client | Order response | {'orderId': 4254643871, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'web_mCkRq9VeL0Jh2fXtBzYp', 'price': '100000', 'avgPrice': '0', 'origQty': '0.001', 'executedQty': '0', 'cumQty': '0', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1736933466024}
2025-01-15T10:31:06 | INFO     | trading_bot.orders | Order success | orderId=4254643871 | status=NEW | executedQty=0
2025-01-15T10:31:06 | INFO     | trading_bot.cli | CLI completed successfully | orderId=4254643871
2025-01-15T10:45:12 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15T10:45:12 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order | body={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.001', 'stopPrice': '90000', 'timestamp': 1736934312557}
2025-01-15T10:45:13 | DEBUG    | trading_bot.client | HTTP 200 | url=https://testnet.binancefuture.com/fapi/v1/order
2025-01-15T10:45:13 | INFO     | trading_bot.client | Order response | {'orderId': 4254645002, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'web_nYpQr7KzW4Dg1hMtCvUa', 'price': '0', 'avgPrice': '0', 'origQty': '0.001', 'executedQty': '0', 'cumQty': '0', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'STOP_MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '90000', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'STOP_MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1736934313110}
2025-01-15T10:45:13 | INFO     | trading_bot.orders | Order success | orderId=4254645002 | status=NEW | executedQty=0
2025-01-15T10:45:13 | INFO     | trading_bot.cli | CLI completed successfully | orderId=4254645002
2025-01-15T10:52:30 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15T10:52:30 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order | body={'symbol': 'INVALIDXYZ', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1736934750881}
2025-01-15T10:52:30 | DEBUG    | trading_bot.client | HTTP 400 | url=https://testnet.binancefuture.com/fapi/v1/order
2025-01-15T10:52:30 | ERROR    | trading_bot.client | API error | code=-1121 | msg=Invalid symbol.
2025-01-15T10:52:30 | ERROR    | trading_bot.orders | Order failed | Binance API error -1121: Invalid symbol.
2025-01-15T10:52:30 | ERROR    | trading_bot.cli | Order placement failed: Binance API error -1121: Invalid symbol.
2025-01-15T11:01:18 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-01-15T11:01:18 | DEBUG    | trading_bot.client | POST https://testnet.binancefuture.com/fapi/v1/order | body={'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1736935278443}
2025-01-15T11:01:19 | DEBUG    | trading_bot.client | HTTP 200 | url=https://testnet.binancefuture.com/fapi/v1/order
2025-01-15T11:01:19 | INFO     | trading_bot.client | Order response | {'orderId': 2187349102, 'symbol': 'ETHUSDT', 'status': 'FILLED', 'clientOrderId': 'web_KpLmN3RvT6Wq8jBdCxZe', 'price': '0', 'avgPrice': '3284.15', 'origQty': '0.01', 'executedQty': '0.01', 'cumQty': '0.01', 'cumQuote': '32.8415', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1736935279088}
2025-01-15T11:01:19 | INFO     | trading_bot.orders | Order success | orderId=2187349102 | status=FILLED | executedQty=0.01
2025-01-15T11:01:19 | INFO     | trading_bot.cli | CLI completed successfully | orderId=2187349102
